Method,SuccessRate,Avg_PathLen,Avg_Nodes,Avg_Risk,Avg_Collisions,Imp_path_length_%,Imp_total_nodes_expanded_%,Imp_cumulative_risk_%,Imp_hard_collisions_%
whole_map_original_binary_hard,80.0,205.31,1588296.64,127.20060677601403,113.99,0.0,0.0,0.0,0.0
whole_map_new_binary,100.0,185.8,3618125.19,10.605127199781315,1.81,9.50270322926306,-127.79908355154615,91.66267562036418,98.41214141591368
sliding_window_new_binary,100.0,175.59,51730.68,10.525873087368888,2.03,14.47567093663241,96.743008912995,91.72498201529513,98.21914203000263
